meeting_id,user_a_id,user_b_id,meeting_number,meeting_date,time_slot,location_id,success,engaged,outcome_stage,location_name
1,1,9,1,2025-02-04,late_evening,13,True,False,continued,13th Ave Plaza Seating
2,1,9,2,2025-02-11,early_evening,5,True,False,continued,Schoolyard near 50th St
3,1,9,3,2025-02-18,early_evening,15,True,False,continued,16th Ave Shul Courtyard
4,1,9,4,2025-02-25,early_evening,10,True,False,continued,Side-street benches near 15th Ave
5,1,9,5,2025-03-04,afternoon,1,True,False,continued,Leif Ericson Park - benches
6,1,41,1,2025-05-23,afternoon,19,True,False,continued,10th Ave bus stop benches
7,1,41,2,2025-05-30,late_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
8,1,41,3,2025-06-06,early_evening,13,True,False,continued,13th Ave Plaza Seating
9,1,54,1,2025-01-06,afternoon,2,True,False,continued,Borough Park Library
10,1,72,1,2025-01-23,early_evening,5,True,False,continued,Schoolyard near 50th St
11,1,72,2,2025-01-30,early_evening,4,True,False,continued,18th Ave Small Plaza
12,1,78,1,2025-08-22,late_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
13,1,78,2,2025-08-29,late_evening,9,True,False,continued,Local café seating area
14,1,80,1,2025-12-17,early_evening,14,True,False,continued,45th St Mini Playground
15,1,80,2,2025-12-24,early_evening,5,True,False,continued,Schoolyard near 50th St
16,1,80,3,2025-12-31,late_evening,3,True,False,continued,14th Ave Green Corridor
17,1,80,4,2026-01-07,afternoon,7,True,False,continued,Community center courtyard
18,1,80,5,2026-01-14,afternoon,1,True,False,continued,Leif Ericson Park - benches
19,1,83,1,2025-05-02,early_evening,14,True,False,continued,45th St Mini Playground
20,1,83,2,2025-05-09,late_evening,9,True,False,continued,Local café seating area
21,1,83,3,2025-05-16,afternoon,12,True,False,continued,Fort Hamilton Pkwy Triangle
22,1,83,4,2025-05-23,afternoon,4,True,False,continued,18th Ave Small Plaza
23,1,88,1,2025-01-05,afternoon,19,True,False,continued,10th Ave bus stop benches
24,1,88,2,2025-01-12,late_evening,17,True,True,engaged,Overpass seating by New Utrecht Ave
25,1,88,3,2025-01-19,late_evening,13,True,False,continued,13th Ave Plaza Seating
26,1,88,4,2025-01-26,late_evening,3,True,False,continued,14th Ave Green Corridor
27,1,88,5,2025-02-02,early_evening,6,True,False,continued,Small playground on 17th Ave
28,1,106,1,2025-07-01,early_evening,1,True,False,continued,Leif Ericson Park - benches
29,1,106,2,2025-07-08,early_evening,2,True,False,continued,Borough Park Library
30,1,106,3,2025-07-15,late_evening,10,True,False,continued,Side-street benches near 15th Ave
31,1,126,1,2025-05-07,late_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
32,1,126,2,2025-05-14,early_evening,19,True,False,continued,10th Ave bus stop benches
33,1,126,3,2025-05-21,early_evening,4,True,False,continued,18th Ave Small Plaza
34,1,126,4,2025-05-28,early_evening,4,False,False,stopped,18th Ave Small Plaza
35,1,132,1,2025-03-23,early_evening,6,True,False,continued,Small playground on 17th Ave
36,1,132,2,2025-03-30,afternoon,3,True,False,continued,14th Ave Green Corridor
37,1,135,1,2025-04-26,afternoon,2,True,False,continued,Borough Park Library
38,1,135,2,2025-05-03,afternoon,6,True,False,continued,Small playground on 17th Ave
39,1,135,3,2025-05-10,late_evening,3,True,False,continued,14th Ave Green Corridor
40,1,135,4,2025-05-17,early_evening,10,True,False,continued,Side-street benches near 15th Ave
41,1,137,1,2025-11-02,afternoon,5,True,False,continued,Schoolyard near 50th St
42,1,137,2,2025-11-09,early_evening,14,True,False,continued,45th St Mini Playground
43,1,193,1,2025-06-07,early_evening,10,True,False,continued,Side-street benches near 15th Ave
44,1,193,2,2025-06-14,early_evening,4,True,False,continued,18th Ave Small Plaza
45,1,193,3,2025-06-21,early_evening,14,True,True,engaged,45th St Mini Playground
46,1,193,4,2025-06-28,early_evening,13,True,False,continued,13th Ave Plaza Seating
47,1,215,1,2025-06-05,afternoon,4,True,True,engaged,18th Ave Small Plaza
48,1,215,2,2025-06-12,afternoon,3,True,False,continued,14th Ave Green Corridor
